C+ID,CONJUNTO,STATUS,ASESOR,FECHA,GÉNERO,EDAD,PAÍS,CIUDAD,PROFESIÓN,OCUPACIÓN,ESTADO CIVIL,INGRESOS MENSUALES,CANALES
XE12,X,VENDIDO,ISABEL ARBOLEDA ,30/7/2024,MUJER,44,COLOMBIA,CALI,ENFERMERA,EMPLEAD@,UNIÓN LIBRE,$2.500.000,LOS VI EN REDES
XE13,X,DISPONIBLE,, ,,,,,,,,,
XE14,X,DISPONIBLE,, ,,,,,,,,,
XE15,X,DISPONIBLE,, ,,,,,,,,,
XE16,X,VENDIDO,ANDREA OROZCO,4/6/2024,HOMBRE,45,COLOMBIA,CALI,PENSIONADO,EMPLEAD@,CASAD@,$3.500.000,LOS VI EN REDES
XE17,X,VENDIDO,ISABEL ARBOLEDA,30/10/2024,HOMBRE,42,ESTADOS UNIDOS,LOS ÁNGELES,,INDEPENDIENTE,SOLTER@,$8.000.000,SOY REFERIDO
XE18,X,DISPONIBLE,, ,,,,,,,,,
XE19,X,DISPONIBLE,, ,,,,,,,,,
XE20,X,VENDIDO,VALERIA YEPES,2/7/2024,MUJER,22,COLOMBIA,CALI,,INDEPENDIENTE,SOLTER@,$3.000.000,LOS VI EN REDES
XE21,X,VENDIDO,DACION,1/4/2024,,,,,,,,,
XI13,X,VENDIDO,GABRIELA RODRIGUEZ,16/7/2025,MUJER,45,COLOMBIA,VILLA RICA,ADMINISTRADORA,EMPLEAD@,SOLTER@,$2.500.000,LOS VI EN REDES
XE23,X,VENDIDO,LAURA DANIELA GALLO,11/4/2025,MUJER,30,INGLATERRA,LONDRES,COSMETOLOGA,EMPLEAD@,UNIÓN LIBRE,"$2,800,000",LOS VI EN REDES
XE24,X,VENDIDO,BM (HITALO),1//2025,,,,,,,,,
XE25,X,VENDIDO,BM (HITALO),1//2025,,,,,,,,,
XE26,X,DISPONIBLE,, ,,,,,,,,,
XI22,X,VENDIDO,LAURA DANIELA GALLO,11/7/2025,MUJER,35,ESPAÑA,,INDEPENDIENTE,INDEPENDIENTE,CASAD@,"$4,000,000",LOS VI EN REDES
XE28,X,DISPONIBLE,, ,,,,,,,,,
XF1,X,DISPONIBLE,, ,,,,,,,,,
XF2,X,VENDIDO,ISABEL ARBOLEDA,29/7/2024,HOMBRE,45,COLOMBIA,JAMUNDÍ,,INDEPENDIENTE,UNIÓN LIBRE,$3.000.000,PASÉ Y ENTRÉ
